SYMBOL,CONCHAR,CONTRACT,DATABRON,DATUM,tickid,NUMTRAD,NUMCROS,VOL,OI,ALTCLS,RANGEMIN,TRADMIN,CODEZ,CODEM,CODEMTIJD,ZTIJD,BLOCKVOL,STARTTIJD,EINDTIJD,OIDATUM,VOLDATUM,HIGH,LOW,DAGVOL,HIGHEXTP,LOWEXTP,HIGHEXVP,LOWEXVP,HIGHEXTP20,LOWEXTP20,HIGHEXVP5,LOWEXVP5,OPEN,HOOG,LAAG,SLOT,TRADVOLMIN,LASTTRADE,INDEX,TCLOSE1,TCLOSE2,LASTACTM1,LASTACTM2,TCLOSE,FIRSTTIJD,STARTEIND,LASTM,LASTMTIJD,NOI,NVOL,OOI,OVOL,FEESTDAG,KSHAREOUT,TOPEN1,TOPEN2,TOPEN,BIDASKRANGE,FLINKRANGE,BIGRANGE,HIGHEXVPTIME,LOWEXVPTIME,HIGHEXTPTIME,LOWEXTPTIME,LASTACTM,LASTACTMTIJD,HOOGTIJD,LAAGTIJD,LIM,LIMC,BBID,BASK,KASPRIJS,KASTIJD,TIKBRON,OPM,APPL,ID,OPEN1,OPEN2,CLOSE1,CLOSE2,SETTLE,LIMPRC,conteindtijd,PRESTARTTIJD,fdatum,posthigh,postlow,prehigh,prelow
ES,INDEX,,,15056,,261273,,1939514,2571151,,,,,,,,,,,,,,,,,,,,,,,,1292.19,1300.51,1284.05,1297.54,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-23,,,,
ES,INDEX,,,15057,,241947,,1829474,2590263,,,,,,,,,,,,,,,,,,,,,,,,1300.61,1311.34,1297.74,1309.66,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-24,,,,
ES,INDEX,,,15058,,272704,,1644038,2603919,,,,,,,,,,,,,,,,,,,,,,,,1311.8,1319.18,1310.15,1313.8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-25,,,,
ES,INDEX,,,15061,,334956,,1279022,2601290,,,,,,,,,,,,,,,,,,,,,,,,1315.45,1319.74,1310.19,1310.19,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-28,,,,
ES,INDEX,,,15062,,240674,,1550999,2634457,,,,,,,,,,,,,,,,,,,,,,,,1309.37,1319.45,1305.26,1319.44,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-29,,,,
ES,INDEX,,,15063,,226596,,1404294,2655711,,,,,,,,,,,,,,,,,,,,,,,,1321.89,1331.74,1321.89,1328.26,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-30,,,,
ES,INDEX,,,15064,,225961,,1521082,2643780,,,,,,,,,,,,,,,,,,,,,,,,1327.44,1329.77,1325.03,1325.83,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-03-31,,,,
ES,INDEX,,,15065,,281880,,1660665,2646110,,,,,,,,,,,,,,,,,,,,,,,,1329.48,1337.85,1328.89,1332.41,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-04-01,,,,
ES,INDEX,,,15068,,192631,,1272721,2642319,,,,,,,,,,,,,,,,,,,,,,,,1333.56,1336.74,1329.1,1332.87,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-04-04,,,,
ES,INDEX,,,15069,,236960,,1556545,2653177,,,,,,,,,,,,,,,,,,,,,,,,1332.03,1338.21,1330.03,1332.63,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-04-05,,,,
